Category,Brand,Product
Foods and Drinks,General Mills,Yoplait
Foods and Drinks,General Mills,Yoplait GoGurt
Foods and Drinks,General Mills,Yoplait Greek
Foods and Drinks,General Mills,Yoplait Light
Foods and Drinks,General Mills,Yoplait Trix
Foods and Drinks,General Mills,Betty Crocker (Fruit Snacks)
Foods and Drinks,General Mills,Fiber One Brownies
Foods and Drinks,General Mills,Fiber One Cookies
Foods and Drinks,General Mills,Fiber One Snack Bar
Foods and Drinks,General Mills,Nature Valley Breakfast Biscuits
Foods and Drinks,General Mills,Nature Valley Snack Bar
Foods and Drinks,General Mills,Chex Mix
Foods and Drinks,Kellogg,Kashi Snack Bar
Foods and Drinks,Kellogg,Kashi Crisps
Foods and Drinks,Kellogg,Keebler Cookies
Foods and Drinks,Kellogg,Keebler Crackers
Foods and Drinks,Kellogg,Nutri-Grain Snack Bar
Foods and Drinks,Kellogg,Pringles
Foods and Drinks,Kellogg,PopTarts
Foods and Drinks,Kellogg,Special K Crackers
Foods and Drinks,Kellogg,Special K Snack Bar
Foods and Drinks,Kellogg,Cheez-It
Foods and Drinks,Kellogg,Special K Snacks*
Foods and Drinks,Mondelez Global,Belvita Breakfast Biscuits
Foods and Drinks,Mondelez Global,Ritz Crackers
Foods and Drinks,Mondelez Global,Chips Ahoy
Foods and Drinks,Mondelez Global,Triscuit Crackers
Foods and Drinks,Mondelez Global,Honey Maid
Foods and Drinks,Mondelez Global,Wheat Thins
Foods and Drinks,Mondelez Global,Honey Maid Teddy Grahams
Foods and Drinks,Mondelez Global,Newtons Cookies
Foods and Drinks,Mondelez Global,Oreo
Foods and Drinks,PepsiCo,Quaker Snack Bar
Foods and Drinks,PepsiCo,Cheetos
Foods and Drinks,PepsiCo,Doritos
Foods and Drinks,PepsiCo,Frito Lay Snacks
Foods and Drinks,PepsiCo,Lay's Kettle Cooked Potato Chips
Foods and Drinks,PepsiCo,Lay's Potato Chips
Foods and Drinks,PepsiCo,Stacy's Pita Chips
Foods and Drinks,PepsiCo,Tostitos
Foods and Drinks,Dannon,Dannon Activia
Foods and Drinks,Dannon,Dannon Creamery
Foods and Drinks,Dannon,Dannon Danimals
Foods and Drinks,Dannon,Dannon Light & Fit
Foods and Drinks,Dannon,Dannon Oikos
Foods and Drinks,Campbells,Pepperidge Farm Goldfish
Foods and Drinks,Campbells,Pepperidge Farm Goldfish Grahams
Foods and Drinks,Kraft,Planters Nuts
Foods and Drinks,Kraft,Oscar Mayer
Foods and Drinks,J.M. Smucker,Fruit-Fulls Applesauce
Foods and Drinks,J.M. Smucker,Jif to Go Snack Dippers
Foods and Drinks,J.M. Smucker,Jif Peanut Butter
Foods and Drinks,The Wonderful Company,Wonderful Halos
Foods and Drinks,The Wonderful Company,Wonderful Pistachios
Foods and Drinks,Clif Bar & Company,Clif Mojo
Foods and Drinks,Ferrero USA,Nutella & Go!
Foods and Drinks,Kozy Shack Enterprises,Kozy Shack Pudding
Foods and Drinks,McKee Foods ,Little Debbie
Foods and Drinks,McKee Foods ,Sun Belt Bakery Granola Bar
Foods and Drinks,Procter & Gamble,META Health Snack Bar
Foods and Drinks,Sheila G Brands,Sheila G’s Brownie Brittle
Foods and Drinks,ThinkThin Products,ThinkThin Snack Bar
Foods and Drinks,Weight Watchers,Weight Watchers Brownie Bliss
Foods and Drinks,Welch Foods Inc.,Welch’s Snacks Savory snacks
Foods and Drinks,B&G Foods,Pirate’s Booty
Foods and Drinks,ConAgra Foods,Slim Jim
Foods and Drinks,Link Snacks,Jack Links
Foods and Drinks,Mars,Combos
Foods and Drinks,Oberto Brands,Oberto Beef Jerky
Foods and Drinks,Popchips,Popchips
Foods and Drinks,Snyder's of Hanover,Snyder’s of Hanover
Foods and Drinks,Bard Valley,Natural Delights Medjool Dates
Foods and Drinks,California Table Grape Commission,Grapes from California
Foods and Drinks,Del Monte Foods,Del Monte Peaches
Foods and Drinks,Dole Food Company,Dole Fruit Bowls
Foods and Drinks,Dr Pepper Snapple Group,Mott’s Snack & Go Applesauce
Foods and Drinks,Materne,GoGo Squeeze Applesauce
Foods and Drinks,Pear Bureau Northwest,USA Pears
Foods and Drinks,Almond Board of California,California Almonds
Foods and Drinks,Blue Diamond Growers, Blue Diamond Almonds
Foods and Drinks,Diamond Foods ,Emerald Cocoa Roasted Almonds
Foods and Drinks,National Peanut Board,Peanuts
Foods and Drinks,Chobani ,Chobani Greek
Foods and Drinks,Chobani ,Chobani 100
Foods and Drinks,FAGE,FAGE FruYo
Foods and Drinks,FAGE,FAGE Total
Foods and Drinks,Sun Valley Dairy,Voskos
Foods and Drinks,Bel Brands USA,Laughing Cow
Foods and Drinks,Sargento Foods,Sargento
Foods and Drinks,Nature Delivered,Graze Snack Boxes
Foods and Drinks,Coca-Cola,Barq’s
Foods and Drinks,Coca-Cola,Coca-Cola
Foods and Drinks,Coca-Cola,Fanta
Foods and Drinks,Coca-Cola,Mello Yello
Foods and Drinks,Coca-Cola,Pibb Xtra
Foods and Drinks,Coca-Cola,Seagram’s
Foods and Drinks,Coca-Cola,Sprite
Foods and Drinks,Coca-Cola,Bright & Early
Foods and Drinks,Coca-Cola,Calypso
Foods and Drinks,Coca-Cola,Fuze
Foods and Drinks,Coca-Cola,Hi-C
Foods and Drinks,Coca-Cola,Minute Maid
Foods and Drinks,Coca-Cola,Minute Maid Coolers
Foods and Drinks,Coca-Cola,Minute Maid Fruit Falls
Foods and Drinks,Coca-Cola,Simply
Foods and Drinks,Coca-Cola,Full Throttle
Foods and Drinks,Coca-Cola,NOS
Foods and Drinks,Coca-Cola,Gold Peak
Foods and Drinks,Coca-Cola,Honest Tea
Foods and Drinks,Coca-Cola,Powerade
Foods and Drinks,Coca-Cola,Vitamin Water
Foods and Drinks,Dr Pepper Snapple Group,7UP
Foods and Drinks,Dr Pepper Snapple Group,A&W
Foods and Drinks,Dr Pepper Snapple Group,Big Red
Foods and Drinks,Dr Pepper Snapple Group,Cactus Cooler
Foods and Drinks,Dr Pepper Snapple Group,Canada Dry
Foods and Drinks,Dr Pepper Snapple Group,Crush
Foods and Drinks,Dr Pepper Snapple Group,Dr Pepper
Foods and Drinks,Dr Pepper Snapple Group,IBC
Foods and Drinks,Dr Pepper Snapple Group,RC Cola
Foods and Drinks,Dr Pepper Snapple Group,Schweppes
Foods and Drinks,Dr Pepper Snapple Group,Squirt
Foods and Drinks,Dr Pepper Snapple Group,Stewart’s Fountain Classics
Foods and Drinks,Dr Pepper Snapple Group,Sundrop
Foods and Drinks,Dr Pepper Snapple Group,Sunkist
Foods and Drinks,Dr Pepper Snapple Group,Tahitian Treat
Foods and Drinks,Dr Pepper Snapple Group,Vernors
Foods and Drinks,Dr Pepper Snapple Group,Hawaiian Punch
Foods and Drinks,Dr Pepper Snapple Group,Snapple
Foods and Drinks,Dr Pepper Snapple Group,Manzita Sol
Foods and Drinks,Dr Pepper Snapple Group,Mtn Dew
Foods and Drinks,Dr Pepper Snapple Group,Mug
Foods and Drinks,Dr Pepper Snapple Group,Pepsi
Foods and Drinks,Dr Pepper Snapple Group,SoBe
Foods and Drinks,Dr Pepper Snapple Group,Tropicana
Foods and Drinks,Dr Pepper Snapple Group,AMP Energy
Foods and Drinks,Dr Pepper Snapple Group,Lipton
Foods and Drinks,Dr Pepper Snapple Group,Gatorade
Foods and Drinks,Monster Beverage Corporation,Huberts
Foods and Drinks,Monster Beverage Corporation,Monster Energy
Foods and Drinks,Monster Beverage Corporation,Java Monster
Foods and Drinks,Monster Beverage Corporation,Peace Tea
Foods and Drinks,Nestle,Poland Springs
Foods and Drinks,Nestle,Nestea
Foods and Drinks,Nestle,Sweet Leaf
Foods and Drinks,Nestle,Tradewinds
Foods and Drinks,Goya,Malta
Foods and Drinks,Goya,Nectars
Foods and Drinks,Kraft Foods,Kool-Aid
Foods and Drinks,Kraft Foods,Capri Sun
Foods and Drinks,Starbucks,Starbucks
Foods and Drinks,Starbucks,Tazo
Foods and Drinks,Arizona,Arizona
Foods and Drinks,Johanna Foods,Ssips
Foods and Drinks,Unilever,Lipton
Foods and Drinks,Jones Soda Co. ,Jones
Foods and Drinks,Polar Beverages,Polar
Foods and Drinks,National Beverage Corp,Faygo
Foods and Drinks,National Beverage Corp,Shasta
Foods and Drinks,Reed’s,Reed’s
Foods and Drinks,Reed’s,Virgil’s
Foods and Drinks,Novamex,Jarritos
Foods and Drinks,Carolina Beverage Corporation,Cheerwine
Foods and Drinks,Rockstar,Rockstar
Foods and Drinks,Invation Ventures,5-hour Energy
Foods and Drinks,SK Energy Shots,SK Energy
Foods and Drinks,RedBull,RedBull
Foods and Drinks,Novartis,NoDoz
Foods and Drinks,NVE Pharmaceuticals,Stacker 2 Xtra
Foods and Drinks,Joseph Co. Intl LLC,West Coast Chill
Foods and Drinks,Ocean Spray,Ocean Spray
Foods and Drinks,Langers Juice Company,Langers
Foods and Drinks,Welch Foods Inc.,Welch’s
Foods and Drinks,Welch Foods Inc.,Welch’s Chillers
Foods and Drinks,Campbell Soup Company,Bolthouse Farms
Foods and Drinks,Campbell Soup Company,V8 Fusion
Foods and Drinks,Campbell Soup Company,V8 Splash
Foods and Drinks,Jel Sert Company,Mondo Fruit Squeezers
Foods and Drinks,Sunny Delight Beverages,Sunny D
Foods and Drinks,Alamance Foods,Happy Drinks
Foods and Drinks,Houchens Industries,Tampico
Foods and Drinks,Royal Wessanen,Little Hug Fruit Barrels
Foods and Drinks,J.M. Smucker Company ,RW Knudsen
Foods and Drinks,J.M. Smucker Company ,Santa Cruz Organics
Foods and Drinks,Jumex Group,Jumex
Foods and Drinks,"BYB Brands, Inc. ",Tum E Yummies
Foods and Drinks,S. Martinelli & Company,Martinelli’s
Foods and Drinks,Turkey Hill Dairy,Turkey Hill
Foods and Drinks,Vita Coco,Vita Coco Kids
Foods and Drinks,Newman’s Own,Newman’s Own
Foods and Drinks,Stremick’s Heritage Foods,Kern’s
Foods and Drinks,Tuscan Dairy Farms,Fruit Rush
Foods and Drinks,Britvic,Robinsons Fruit Shoot
Foods and Drinks,Bug Juice,Bug Juice
Foods and Drinks,Karhl Holdings LLC,Two If By Tea
Foods and Drinks,XINGtea,XINGtea
Foods and Drinks,Apple & Eve,Apple & Eve Waterfruits
Restaurants,McDonald’s,
Restaurants,Subway,
Restaurants,Starbucks,
Restaurants,Wendy’s,
Restaurants,Burger King,
Restaurants,Taco Bell,
Restaurants,Dunkin’ Donuts  ,
Restaurants,Pizza Hut,
Restaurants,Chick-fil-A,
Restaurants,KFC,
Restaurants,Panera Bread,
Restaurants,Sonic,
Restaurants,Domino’s,
Restaurants,Jack in the Box,
Restaurants,Arby’s,
Restaurants,Chipotle,
Restaurants,Papa John’s,
Restaurants,Dairy Queen,
Restaurants,Popeyes,
Restaurants,Hardee’s,
Restaurants,Little Caesars,
Restaurants,Carl’s Jr.,
Restaurants,Quiznos,
Restaurants,Long John Silver’s,
Restaurants,Boston Market,
Restaurants,CiCi’s Pizza,
Media,YouTube,
Media,Twitter,
Media,Discord,
Media,Facebook,
Media,VK,
Media,Instagram,
Hardware,Intel,
Hardware,Logitech,
Hardware,Asus,
Hardware,Corsair,
Hardware,Nvidia,
Hardware,Samsung,
Hardware,Razer,
Hardware,ElGato,
Hardware,Gigabyte,
Hardware,Nzxt,
Hardware,Sennheiser,
Hardware,Amd,
Major Twitch Sponsors,Gfuel,
Major Twitch Sponsors,Monster,
Major Twitch Sponsors,Dr Pepper,
Major Twitch Sponsors,RedBull,
Major Twitch Sponsors,GrubHub,
Major Twitch Sponsors,Chipotle,
Major Twitch Sponsors,Mastercard,
Major Twitch Sponsors,Ubereats,
Major OWL Sponsors 2019,Coca-Cola,
Major OWL Sponsors 2019,Toyota,
Major OWL Sponsors 2019,T-Mobile,
Major OWL Sponsors 2019,HP,
Major OWL Sponsors 2019,Intel,
Major Esports Sponsors 2019,Audi,
Major Esports Sponsors 2019,Honda,
Major Esports Sponsors 2019,BMW,
Major Esports Sponsors 2019,Nissan,
Major Esports Sponsors 2019,Kia,
Major Esports Sponsors 2019,RedBull,
Major Esports Sponsors 2019,Madrinas Coffee,
Major Esports Sponsors 2019,Tornado Energy,
Major Esports Sponsors 2019,Warsteiner,
Major Esports Sponsors 2019,Snickers,
Major Esports Sponsors 2019,Totino's,
Major Esports Sponsors 2019,Kellogg's,
Major Esports Sponsors 2019,Jersey Mike's,
Major Esports Sponsors 2019,Dominos,
Major Esports Sponsors 2019,KFC,
Major Esports Sponsors 2019,Champion,
Major Esports Sponsors 2019,Puma,
Major Esports Sponsors 2019,New Era,
Major Esports Sponsors 2019,Adidas,
Major Esports Sponsors 2019,Nike,
Major Esports Sponsors 2019,Foot Locker,
Major Esports Sponsors 2019,State Farm,
Major Esports Sponsors 2019,At&T,
Major Esports Sponsors 2019,T-Mobile,
Major Esports Sponsors 2019,AXE Body Spray,
Major Esports Sponsors 2019,Betway,
Major Esports Sponsors 2019,Progressive Insurance,
Major Esports Sponsors 2019,Newegg,
Major Esports Sponsors 2019,Hyperice,
Top Candy 2018,Snickers,
Top Candy 2018,Reese's,
Top Candy 2018,Kit Kat,
Top Candy 2018,M&M's,
Top Candy 2018,Hershey's,
Top Candy 2018,Almond Joy,
Top Candy 2018,Butterfinger,
Top Candy 2018,Twix,
Top Candy 2018,3 Musketeers,
Top Candy 2018,Dove Chocolate,
Top Candy 2018,Milky Way,
Top Candy 2018,Twizzlers,
Top Candy 2018,Ferrero Rocher,
Top Candy 2018,Baby Ruth,
Top Candy 2018,Starburst,
Top Candy 2018,Ghiradelli,
Top Candy 2018,Skittles,
Top Candy 2018,York Peppermint Patties,
Top Candy 2018,Tootsie Rolls,
Top Candy 2018,Swedish Fish,